Elapsed time,GET Products with connection pooling and query caching,GET Products with connection pooling no caching
02:54:55.0,,36.75
02:54:55.500,24.833333333333325,151.35897435897436
02:54:56.0,15.125000000000007,227.1891891891892
02:54:56.500,10.051470588235293,199.68503937007873
02:54:57.0,5.637499999999999,147.71005917159758
02:54:57.500,7.396341463414634,150.3548387096774
02:54:58.0,7.956521739130436,165.7357142857143
02:54:58.500,7.123376623376624,153.3765432098765
02:54:59.0,7.798780487804881,148.83439490445846
02:54:59.500,12.135802469135797,140.80606060606064
02:55:00.0,5.558441558441557,152.4429530201342
02:55:00.500,4.108433734939759,151.5089820359281
02:55:01.0,7.915032679738567,153.0714285714285
02:55:01.500,4.660130718954248,155.80645161290317
02:55:02.0,6.958041958041955,162.73188405797106
02:55:02.500,5.131034482758621,169.57432432432435
02:55:03.0,6.812121212121215,145.14970059880247
02:55:03.500,5.2387096774193544,152.2974683544304
02:55:04.0,6.019354838709677,150.20805369127515
02:55:04.500,7.006666666666667,167.86754966887415
02:55:05.0,4.642857142857143,152.62500000000003
02:55:05.500,4.169934640522875,159.26451612903222
02:55:06.0,4.744525547445256,168.32352941176478
02:55:06.500,7.354430379746838,160.98101265822785
02:55:07.0,4.280821917808219,159.90604026845634
02:55:07.500,5.39622641509434,155.26923076923086
02:55:08.0,13.345864661654133,163.2781954887217
02:55:08.500,5.32258064516129,163.33962264150938
02:55:09.0,5.493243243243243,158.95205479452054
02:55:09.500,4.5350318471337605,159.19354838709674
02:55:10.0,7.749999999999997,195.3085106382978
02:55:10.500,8.880434782608694,297.36170212765967
02:55:11.0,9.28421052631579,243.84905660377348
02:55:11.500,15.889908256880728,202.90196078431373
02:55:12.0,4.440000000000003,177.18181818181822
02:55:12.500,13.435714285714287,152.9632352941177
02:55:13.0,18.118279569892476,110.28735632183913
