Elapsed time,GET Products with connection pooling,GET Products without connection pooling
03:02:24.0,,199.0
03:02:24.500,96.15789473684211,600.9444444444445
03:02:25.0,37.45762711864407,509.32203389830516
03:02:25.500,30.65277777777778,318.0897435897436
03:02:26.0,48.764044943820245,261.9756097560975
03:02:26.500,21.918367346938776,234.45454545454547
03:02:27.0,21.1685393258427,231.44444444444446
03:02:27.500,53.44339622641509,192.87254901960785
03:02:28.0,35.943396226415096,207.61386138613864
03:02:28.500,31.34313725490195,212.54545454545453
03:02:29.0,36.50000000000002,187.96874999999991
03:02:29.500,23.7741935483871,314.18965517241367
03:02:30.0,12.64,299.69
03:02:30.500,12.453703703703706,223.48648648648648
03:02:31.0,20.33999999999999,220.75
03:02:31.500,20.028846153846153,223.19626168224298
03:02:32.0,16.155963302752305,215.29245283018867
03:02:32.500,25.463636363636365,198.51239669421494
03:02:33.0,14.673076923076918,219.63
03:02:33.500,12.175925925925927,226.25
03:02:34.0,16.778846153846157,223.606
03:02:34.500,24.14423076923077,209.93269230769232
03:02:35.0,17.580000000000005,227.48039215686273
03:02:35.500,13.47,230.67307692307693
03:02:36.0,20.215686274509814,230.1122448979592
03:02:36.500,14.12621359223301,229.64423076923077
03:02:37.0,22.54807692307693,214.5137614678899
03:02:37.500,15.812500000000007,242.7340425531915
03:02:38.0,14.373831775700939,221.7047619047619
03:02:38.500,29.693069306930685,226.4387755102041
03:02:39.0,18.65591397849462,226.3978494623656
03:02:39.500,12.305555555555557,235.9189189189189
03:02:40.0,25.582524271844655,211.43
03:02:40.500,17.963302752293583,207.64285714285714
03:02:41.0,13.852631578947369,245.72527472527477
03:02:41.500,16.97849462365591,250.29473684210527
03:02:42.0,12.373333333333333,308.3243243243243
03:02:42.500,10.105882352941176,291.4444444444443
03:02:43.0,15.598039215686274,224.11111111111111
03:02:43.500,11.697247706422017,222.84684684684686
03:02:44.0,36.43434343434343,211.28301886792454
03:02:44.500,23.774509803921582,220.16304347826087
03:02:45.0,13.57,220.55445544554456
03:02:45.500,13.607142857142858,226.1391304347826
03:02:46.0,19.199999999999996,208.67592592592592
03:02:46.500,18.105263157894733,302.42105263157885
03:02:47.0,26.875000000000007,208.56730769230768
03:02:47.500,13.823008849557517,219.98245614035088
03:02:48.0,13.074074074074074,213.46666666666667
03:02:48.500,24.28181818181818,209.7117117117117
03:02:49.0,16.65,195.87378640776703
03:02:49.500,27.523255813953487,255.10714285714286
03:02:50.0,76.23809523809524,141.18421052631578
